time_sec,target_temp,current_temp,error,controller_output,controller_output_percent,duty_cnt,duty_percent,state,state_name,status_word,kp,ki
14.029954671859741,80.0,73.92827606201172,6.093009948730469,0.4322285056114197,43.22285056114197,43222,43.222,1,RUN,1,0.055,0.0003
14.529908418655396,80.0,74.06414794921875,5.9727783203125,0.42996254563331604,42.996254563331604,42996,42.996,1,RUN,1,0.055,0.0003
15.029861688613892,80.0,74.23118591308594,5.81207275390625,0.4253661036491394,42.53661036491394,42536,42.536,1,RUN,1,0.055,0.0003
15.52981686592102,80.0,74.38614654541016,5.648551940917969,0.4206658601760864,42.06658601760864,42066,42.066,1,RUN,1,0.055,0.0003
16.04539394378662,80.0,74.50377655029297,5.516792297363281,0.41760265827178955,41.760265827178955,41760,41.76,1,RUN,1,0.055,0.0003
16.5609712600708,80.0,74.5783920288086,5.43359375,0.41712963581085205,41.712963581085205,41712,41.712,1,RUN,1,0.055,0.0003
17.076549291610718,80.0,74.62110900878906,5.384315490722656,0.41847336292266846,41.847336292266846,41847,41.847,1,RUN,1,0.055,0.0003
17.576502799987793,80.0,74.6485824584961,5.355415344238281,0.42074912786483765,42.074912786483765,42074,42.074,1,RUN,1,0.055,0.0003
18.09208083152771,80.0,74.67739868164062,5.326446533203125,0.42316126823425293,42.31612682342529,42305,42.305,1,RUN,1,0.055,0.0003
18.607658624649048,80.0,74.71785736083984,5.28765869140625,0.4248487651348114,42.48487651348114,42484,42.484,1,RUN,1,0.055,0.0003
19.108039617538452,80.0,74.77307891845703,5.2342071533203125,0.4256961941719055,42.56961941719055,42569,42.569,1,RUN,1,0.055,0.0003
19.59237051010132,80.0,74.84011840820312,5.169090270996094,0.42570316791534424,42.570316791534424,42570,42.57,1,RUN,1,0.055,0.0003
20.095449686050415,80.0,74.91283416748047,5.09613037109375,0.42553865909576416,42.553865909576416,42553,42.553,1,RUN,1,0.055,0.0003
20.59090256690979,80.0,74.9848403930664,5.0232391357421875,0.4253219962120056,42.53219962120056,42532,42.532,1,RUN,1,0.055,0.0003
21.12343454360962,80.0,75.06458282470703,4.9508514404296875,0.425229549407959,42.5229549407959,42529,42.529,1,RUN,1,0.055,0.0003
21.690274477005005,80.0,75.12446594238281,4.88275146484375,0.4254651665687561,42.54651665687561,42546,42.546,1,RUN,1,0.055,0.0003
22.250678300857544,80.0,75.19102478027344,4.81951904296875,0.4259161353111267,42.59161353111267,42591,42.591,1,RUN,1,0.055,0.0003
22.761236667633057,80.0,75.24341583251953,4.766571044921875,0.42645442485809326,42.645442485809326,42645,42.645,1,RUN,1,0.055,0.0003
23.561156511306763,80.0,75.32672119140625,4.6832427978515625,0.4273990988731384,42.73990988731384,42739,42.739,1,RUN,1,0.055,0.0003
24.04548716545105,80.0,75.37963104248047,4.630561828613281,0.4278538227081299,42.78538227081299,42785,42.785,1,RUN,1,0.055,0.0003
24.529815912246704,80.0,75.43360137939453,4.579315185546875,0.4282119870185852,42.82119870185852,42821,42.821,1,RUN,1,0.055,0.0003
24.982898950576782,80.0,75.47686004638672,4.5299072265625,0.4285000264644623,42.85000264644623,42850,42.85,1,RUN,1,0.055,0.0003
25.467230081558228,80.0,75.53094482421875,4.4792938232421875,0.4288237988948822,42.88237988948822,42882,42.882,1,RUN,1,0.055,0.0003
25.935938119888306,80.0,75.58438110351562,4.4282379150390625,0.4290878176689148,42.90878176689148,42908,42.908,1,RUN,1,0.055,0.0003
26.43698239326477,80.0,75.63690948486328,4.3733367919921875,0.4293685555458069,42.93685555458069,42937,42.937,1,RUN,1,0.055,0.0003
26.936936378479004,80.0,75.68827819824219,4.323890686035156,0.4297793507575989,42.97793507575989,42977,42.977,1,RUN,1,0.055,0.0003
28.755170345306396,80.0,75.86734771728516,4.141899108886719,0.4309391379356384,43.09391379356384,43093,43.093,1,RUN,1,0.055,0.0003
29.290682554244995,80.0,75.91569519042969,4.0902099609375,0.4313058853149414,43.13058853149414,43130,43.13,1,RUN,1,0.055,0.0003
30.38975191116333,80.0,76.02012634277344,3.9919891357421875,0.4319642186164856,43.19642186164856,43196,43.196,1,RUN,1,0.055,0.0003
31.091408491134644,80.0,76.08563232421875,3.9201202392578125,0.4325198829174042,43.25198829174042,43251,43.251,1,RUN,1,0.055,0.0003
31.828600883483887,80.0,76.15921783447266,3.8495559692382812,0.4329501986503601,43.29501986503601,43295,43.295,1,RUN,1,0.055,0.0003
32.376256227493286,80.0,76.20498657226562,3.802154541015625,0.43321239948272705,43.321239948272705,43321,43.321,1,RUN,1,0.055,0.0003
33.21805262565613,80.0,76.28587341308594,3.72735595703125,0.4337273836135864,43.37273836135864,43372,43.372,1,RUN,1,0.055,0.0003
34.08276438713074,80.0,76.35530090332031,3.650054931640625,0.43412142992019653,43.41214299201965,43412,43.412,1,RUN,1,0.055,0.0003
34.60691022872925,80.0,76.39765930175781,3.6067733764648438,0.4344615340232849,43.44615340232849,43446,43.446,1,RUN,1,0.055,0.0003
35.12123942375183,80.0,76.44768524169922,3.5646286010742188,0.43483155965805054,43.483155965805054,43483,43.483,1,RUN,1,0.055,0.0003
35.83365225791931,80.0,76.50530242919922,3.50469970703125,0.435139536857605,43.5139536857605,43513,43.513,1,RUN,1,0.055,0.0003
36.683104276657104,80.0,76.57059478759766,3.4355926513671875,0.43560591340065,43.560591340065,43560,43.56,1,RUN,1,0.055,0.0003
38.01380157470703,80.0,76.68177032470703,3.3298568725585938,0.4363836646080017,43.63836646080017,43638,43.638,1,RUN,1,0.055,0.0003
