time_sec,target_temp,current_temp,error,u_ctrl,u_percent,duty_cnt,duty_percent,state,state_name,status_word
12.277810335159302,80.0,81.89189147949219,-2.6120376586914062,0.0,0.0,0,0.0,1,RUN,1
12.478840351104736,80.0,80.47848510742188,-1.1807403564453125,0.0,0.0,0,0.0,1,RUN,1
12.68423867225647,80.0,79.10018920898438,0.214996337890625,1.0,100.0,100000,100.0,1,RUN,1
12.885660648345947,80.0,77.75613403320312,1.5760650634765625,1.0,100.0,100000,100.0,1,RUN,1
13.088300704956055,80.0,76.44547271728516,2.9033203125,1.0,100.0,100000,100.0,1,RUN,1
13.309240818023682,80.0,75.16737365722656,4.197593688964844,1.0,100.0,100000,100.0,1,RUN,1
13.509556293487549,80.0,73.92102813720703,5.459716796875,1.0,100.0,100000,100.0,1,RUN,1
13.713528394699097,80.0,72.70565032958984,6.690483093261719,1.0,100.0,100000,100.0,1,RUN,1
13.917008638381958,80.0,74.50171661376953,6.3906707763671875,1.0,100.0,100000,100.0,1,RUN,1
14.135167598724365,80.0,76.25316619873047,4.6170501708984375,1.0,100.0,100000,100.0,1,RUN,1
14.338808298110962,80.0,77.96109771728516,2.8874969482421875,1.0,100.0,100000,100.0,1,RUN,1
14.552064895629883,80.0,79.62660217285156,1.2009124755859375,1.0,100.0,100000,100.0,1,RUN,1
14.756308794021606,80.0,81.25072479248047,-0.4437713623046875,0.0,0.0,0,0.0,1,RUN,1
14.963369607925415,80.0,83.61156463623047,-2.8344955444335938,0.0,0.0,0,0.0,1,RUN,1
15.166677713394165,80.0,85.13668823242188,-4.3789215087890625,0.0,0.0,0,0.0,1,RUN,1
15.370144367218018,80.0,86.62391662597656,-5.884979248046875,0.0,0.0,0,0.0,1,RUN,1
15.572521924972534,80.0,88.07420349121094,-7.3536224365234375,0.0,0.0,0,0.0,1,RUN,1
15.775848150253296,80.0,87.98845672607422,-8.785774230957031,0.0,0.0,0,0.0,1,RUN,1
15.978909969329834,80.0,86.42359161376953,-7.201103210449219,0.0,0.0,0,0.0,1,RUN,1
16.18686604499817,80.0,84.8976058959961,-5.655799865722656,0.0,0.0,0,0.0,1,RUN,1
16.403275966644287,80.0,83.40953063964844,-4.148887634277344,0.0,0.0,0,0.0,1,RUN,1
16.604341506958008,80.0,81.95841979980469,-2.679412841796875,0.0,0.0,0,0.0,1,RUN,1
16.807668924331665,80.0,80.5433578491211,-1.2464370727539062,0.0,0.0,0,0.0,1,RUN,1
17.010306119918823,80.0,79.1634521484375,0.15093231201171875,1.0,100.0,100000,100.0,1,RUN,1
17.213533639907837,80.0,77.81783294677734,1.5135879516601562,1.0,100.0,100000,100.0,1,RUN,1
17.416831731796265,80.0,76.5056381225586,2.8423919677734375,1.0,100.0,100000,100.0,1,RUN,1
17.63533616065979,80.0,75.22604370117188,4.13818359375,1.0,100.0,100000,100.0,1,RUN,1
17.839484453201294,80.0,73.97824096679688,5.4017791748046875,1.0,100.0,100000,100.0,1,RUN,1
18.04280185699463,80.0,72.76143646240234,6.6339874267578125,1.0,100.0,100000,100.0,1,RUN,1
18.2442843914032,80.0,74.55611419677734,6.335578918457031,1.0,100.0,100000,100.0,1,RUN,1
18.447611093521118,80.0,76.30620574951172,4.5633392333984375,1.0,100.0,100000,100.0,1,RUN,1
